a_物件名,b_住所,c_アクセス,d_築年数,e_部屋の階数,f_賃料,g_管理費,h_敷金,i_礼金,j_間取り,k_専有面積
ザ・フォレストII,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 バス2分 (バス停)小原 歩18分   , 新築 2階建 ,             2階,6.7万円,2200円,-,6.7万円,2LDK,59.58m2
ザ・フォレストII,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 バス2分 (バス停)小原 歩18分   , 新築 2階建 ,             2階,6.9万円,2200円,-,6.9万円,2LDK,59.55m2
ザ・フォレストII,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 バス2分 (バス停)小原 歩18分   , 新築 2階建 ,             2階,6.9万円,2200円,-,6.9万円,2LDK,59.55m2
ＪＲ山陰本線 直江駅 2階建 築3年,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩14分 ＪＲ山陰本線/荘原駅 車13分(5.2km) 一畑電気鉄道松江線/大津町駅 車13分(4.9km) , 築3年 2階建 ,             1階,6.05万円,2200円,-,6.05万円,1LDK,50.52m2
ＪＲ山陰本線 直江駅 2階建 築3年,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩14分 ＪＲ山陰本線/荘原駅 車13分(5.2km) 一畑電気鉄道松江線/大津町駅 車13分(4.9km) , 築3年 2階建 ,             1階,6.25万円,2200円,-,6.25万円,1LDK,50.49m2
ＪＲ山陰本線 直江駅 2階建 築3年,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 歩14分 ＪＲ山陰本線/荘原駅 車13分(5.2km) 一畑電気鉄道松江線/大津町駅 車13分(4.9km) , 築3年 2階建 ,             1階,6.25万円,2200円,-,6.25万円,1LDK,50.49m2
一畑電車大社線 高浜駅 2階建 築4年,島根県出雲市大塚町, 一畑電車大社線/高浜駅 歩18分 ＪＲ山陰本線/出雲市駅 車7分(2.5km) 一畑電気鉄道松江線/電鉄出雲市駅 車8分(2.9km) , 築4年 2階建 ,             1階,6.3万円,2800円,-,6.3万円,1LDK,50.52m2
一畑電車大社線 高浜駅 2階建 築4年,島根県出雲市大塚町, 一畑電車大社線/高浜駅 歩18分 ＪＲ山陰本線/出雲市駅 車7分(2.5km) 一畑電気鉄道松江線/電鉄出雲市駅 車8分(2.9km) , 築4年 2階建 ,             1階,6.6万円,2800円,-,6.6万円,1LDK,50.49m2
一畑電車大社線 高浜駅 2階建 築4年,島根県出雲市大塚町, 一畑電車大社線/高浜駅 歩18分 ＪＲ山陰本線/出雲市駅 車7分(2.5km) 一畑電気鉄道松江線/電鉄出雲市駅 車8分(2.9km) , 築4年 2階建 ,             2階,7.1万円,2800円,-,7.1万円,2LDK,59.06m2
ＪＲ山陰本線 西出雲駅 2階建 築3年,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩15分 ＪＲ山陰本線/出雲神西駅 歩18分 ＪＲ山陰本線/江南駅 車10分(4.0km) , 築3年 2階建 ,             1階,6.1万円,3000円,-,6.1万円,1LDK,50.49m2
ＪＲ山陰本線 西出雲駅 2階建 築3年,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩10分 ＪＲ山陰本線/出雲神西駅 車5分(1.7km) ＪＲ山陰本線/出雲市駅 車15分(6.0km) , 築3年 2階建 ,             2階,6.35万円,3000円,-,6.35万円,2LDK,59.09m2
ジールマルマツII,島根県出雲市高松町, ＪＲ山陰本線/出雲市駅 バス10分 (バス停)井出分前 歩3分   , 築9年 2階建 ,             1階,4.7万円,3000円,-,4.7万円,2DK,50.03m2
ＪＲ山陰本線 直江駅 2階建 築5年,島根県出雲市斐川町上直江, ＪＲ山陰本線/直江駅 歩10分 一畑電気鉄道松江線/大津町駅 車12分(4.5km) ＪＲ山陰本線/荘原駅 車15分(5.7km) , 築5年 2階建 ,             1階,6万円,2000円,-,-,2DK,50.05m2
ＪＲ山陰本線 直江駅 2階建 築5年,島根県出雲市斐川町上直江, ＪＲ山陰本線/直江駅 歩10分 一畑電気鉄道松江線/大津町駅 車12分(4.5km) ＪＲ山陰本線/荘原駅 車15分(5.7km) , 築5年 2階建 ,             2階,6.9万円,2200円,-,6.9万円,2LDK,62.41m2
一畑電車大社線 高浜駅 2階建 築12年,島根県出雲市里方町, 一畑電車大社線/高浜駅 歩12分 一畑電車大社線/遙堪駅 車5分(1.9km) 一畑電気鉄道松江線/武志駅 車10分(3.7km) , 築12年 2階建 ,             1階,4.6万円,2500円,-,4.6万円,2DK,45.02m2
一畑電車大社線 高浜駅 2階建 築12年,島根県出雲市里方町, 一畑電車大社線/高浜駅 歩12分 一畑電車大社線/遙堪駅 車5分(1.9km) 一畑電気鉄道松江線/武志駅 車10分(3.7km) , 築12年 2階建 ,             1階,4.8万円,2500円,-,4.8万円,2DK,45.06m2
一畑電車大社線 高浜駅 2階建 築12年,島根県出雲市里方町, 一畑電車大社線/高浜駅 歩12分 一畑電車大社線/遙堪駅 車5分(1.9km) 一畑電気鉄道松江線/武志駅 車10分(3.7km) , 築12年 2階建 ,             1階,4.8万円,2500円,-,4.8万円,2DK,45.02m2
一畑電気鉄道松江線 大津町駅 2階建 築4年,島根県出雲市中野町, 一畑電気鉄道松江線/大津町駅 歩11分 一畑電気鉄道松江線/武志駅 車6分(2.3km) ＪＲ山陰本線/出雲市駅 車7分(2.7km) , 築4年 2階建 ,             1階,6万円,2500円,-,6万円,1LDK,50.52m2
ヴェルディ,島根県出雲市天神町, 一畑電気鉄道松江線/電鉄出雲市駅 歩25分 ＪＲ山陰本線/出雲市駅 歩25分  , 新築 2階建 ,             1階,5.4万円,3500円,10.8万円,-,ワンルーム,28.48m2
ヴェルディ,島根県出雲市天神町, 一畑電気鉄道松江線/電鉄出雲市駅 歩25分 ＪＲ山陰本線/出雲市駅 歩25分  , 新築 2階建 ,             1階,5.4万円,3500円,10.8万円,-,ワンルーム,28.48m2
ヴェルディ,島根県出雲市天神町, 一畑電気鉄道松江線/電鉄出雲市駅 歩25分 ＪＲ山陰本線/出雲市駅 歩25分  , 新築 2階建 ,             2階,5.5万円,3500円,11万円,-,ワンルーム,28.48m2
ヴェルディ,島根県出雲市天神町, 一畑電気鉄道松江線/電鉄出雲市駅 歩25分 ＪＲ山陰本線/出雲市駅 歩25分  , 新築 2階建 ,             2階,5.5万円,3500円,11万円,-,ワンルーム,28.48m2
ヴェルディ,島根県出雲市天神町, 一畑電気鉄道松江線/電鉄出雲市駅 歩25分 ＪＲ山陰本線/出雲市駅 歩25分  , 新築 2階建 ,             1階,6.2万円,3500円,12.4万円,-,1LDK,43.66m2
ヴェルディ,島根県出雲市天神町, 一畑電気鉄道松江線/電鉄出雲市駅 歩25分 ＪＲ山陰本線/出雲市駅 歩25分  , 新築 2階建 ,             2階,6.3万円,3500円,12.6万円,-,1LDK,43.66m2
一畑電気鉄道松江線 電鉄出雲市駅 2階建 築12年,島根県出雲市医大南町２, 一畑電気鉄道松江線/電鉄出雲市駅 車6分(2.3km) ＪＲ山陰本線/出雲市駅 車6分(2.2km) ＪＲ山陰本線/西出雲駅 車11分(4.2km) , 築12年 2階建 ,             2階,5.75万円,3000円,5.75万円,-,1LDK,44.18m2
ＪＲ山陰本線 出雲神西駅 2階建 築3年,島根県出雲市神西沖町, ＪＲ山陰本線/出雲神西駅 車10分(3.8km) ＪＲ山陰本線/江南駅 車12分(4.5km) ＪＲ山陰本線/西出雲駅 車13分(5.2km) , 築3年 2階建 ,             1階,5.9万円,2500円,-,-,1LDK,50.49m2
一畑電気鉄道松江線 大津町駅 2階建 築18年,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩12分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩18分 一畑電気鉄道松江線/武志駅 車7分(2.5km) , 築18年 2階建 ,             2階,5.8万円,2000円,5.8万円,-,2LDK,54m2
一畑電気鉄道松江線 大津町駅 2階建 築18年,島根県出雲市大津町, 一畑電気鉄道松江線/大津町駅 歩12分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩18分 一畑電気鉄道松江線/武志駅 車7分(2.5km) , 築18年 2階建 ,             2階,5.8万円,2000円,5.8万円,-,2LDK,54m2
ＪＲ山陰本線 直江駅 2階建 築6年,島根県出雲市斐川町神氷, ＪＲ山陰本線/直江駅 歩19分 一畑電気鉄道松江線/大津町駅 車11分(4.3km) ＪＲ山陰本線/荘原駅 車16分(6.1km) , 築6年 2階建 ,             2階,4.83万円,2000円,4.83万円,-,1K,30.87m2
モン・シャトー・Ｋ,島根県出雲市矢野町, 一畑バス/八野神社入口 歩1分   , 築3年 2階建 ,             1階,5.5万円,3500円,5.5万円,-,1LDK,36.57m2
ＪＲ山陰本線 出雲神西駅 2階建 築9年,島根県出雲市神西沖町, ＪＲ山陰本線/出雲神西駅 車10分(3.7km) ＪＲ山陰本線/江南駅 車12分(4.8km) 一畑電車大社線/出雲大社前駅 車19分(7.4km) , 築9年 2階建 ,             1階,4.5万円,2200円,-,4.5万円,1LDK,48.91m2
ＪＲ山陰本線 出雲市駅 2階建 新築,島根県出雲市下古志町, ＪＲ山陰本線/出雲市駅 歩45分   , 新築 2階建 ,             2階,5.2万円,5000円,7.8万円,-,1LDK,42.82m2
ＪＲ山陰本線 出雲市駅 2階建 新築,島根県出雲市下古志町, ＪＲ山陰本線/出雲市駅 歩45分   , 新築 2階建 ,             2階,5.2万円,5000円,7.8万円,-,1LDK,42.82m2
ＪＲ山陰本線 出雲市駅 2階建 新築,島根県出雲市下古志町, ＪＲ山陰本線/出雲市駅 歩45分   , 新築 2階建 ,             2階,5.2万円,5000円,7.8万円,-,1LDK,42.82m2
ＪＲ山陰本線 出雲市駅 2階建 新築,島根県出雲市下古志町, ＪＲ山陰本線/出雲市駅 歩45分   , 新築 2階建 ,             2階,5.2万円,5000円,7.8万円,-,1LDK,42.82m2
ＪＲ山陰本線 出雲市駅 2階建 新築,島根県出雲市下古志町, ＪＲ山陰本線/出雲市駅 歩45分   , 新築 2階建 ,             2階,5.2万円,5000円,7.8万円,-,1LDK,42.82m2
ザ・フォレストIII,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 バス2分 (バス停)小原 歩17分   , 新築 2階建 ,             1階,6.05万円,2200円,-,6.05万円,1LDK,50.05m2
ザ・フォレストIII,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 バス2分 (バス停)小原 歩17分   , 新築 2階建 ,             1階,6.05万円,2200円,-,6.05万円,1LDK,50.05m2
ザ・フォレストIII,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 バス2分 (バス停)小原 歩17分   , 新築 2階建 ,             1階,6.25万円,2200円,-,6.25万円,1LDK,50.01m2
ザ・フォレストIII,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 バス2分 (バス停)小原 歩17分   , 新築 2階建 ,             1階,6.25万円,2200円,-,6.25万円,1LDK,50.01m2
ザ・フォレストIII,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 バス2分 (バス停)小原 歩17分   , 新築 2階建 ,             2階,6.7万円,2200円,-,6.7万円,2LDK,59.58m2
ザ・フォレストIII,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 バス2分 (バス停)小原 歩17分   , 新築 2階建 ,             2階,6.7万円,2200円,-,6.7万円,2LDK,59.58m2
ザ・フォレストIII,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 バス2分 (バス停)小原 歩17分   , 新築 2階建 ,             2階,6.9万円,2200円,-,6.9万円,2LDK,59.55m2
ザ・フォレストIII,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 バス2分 (バス停)小原 歩17分   , 新築 2階建 ,             2階,6.9万円,2200円,-,6.9万円,2LDK,59.55m2
ザ・フォレストI,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 バス2分 (バス停)小原 歩17分   , 新築 2階建 ,             1階,6.05万円,2200円,-,6.05万円,1LDK,50.14m2
ザ・フォレストI,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 バス2分 (バス停)小原 歩17分   , 新築 2階建 ,             1階,6.05万円,2200円,-,6.05万円,1LDK,50.14m2
ザ・フォレストI,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 バス2分 (バス停)小原 歩17分   , 新築 2階建 ,             1階,6.25万円,2200円,-,6.25万円,1LDK,50.14m2
ザ・フォレストI,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 バス2分 (バス停)小原 歩17分   , 新築 2階建 ,             1階,6.25万円,2200円,-,6.25万円,1LDK,50.14m2
ザ・フォレストI,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 バス2分 (バス停)小原 歩17分   , 新築 2階建 ,             2階,6.65万円,2200円,-,6.65万円,2LDK,58.6m2
ザ・フォレストI,島根県出雲市斐川町上庄原, ＪＲ山陰本線/直江駅 バス2分 (バス停)小原 歩17分   , 新築 2階建 ,             2階,6.65万円,2200円,-,6.65万円,2LDK,58.6m2
バス 四絡東 3階建 築7年,島根県出雲市渡橋町, バス/四絡東 歩4分   , 築7年 3階建 ,             1階,5.9万円,3500円,-,-,1LDK,40.73m2
バス 四絡東 3階建 築7年,島根県出雲市渡橋町, バス/四絡東 歩4分   , 築7年 3階建 ,             2階,5.9万円,3500円,-,-,1LDK,40.73m2
ＪＲ山陰本線 西出雲駅 2階建 築4年,島根県出雲市神門町, ＪＲ山陰本線/西出雲駅 車6分(2.1km) ＪＲ山陰本線/出雲神西駅 車6分(2.3km) ＪＲ山陰本線/出雲市駅 車15分(5.8km) , 築4年 2階建 ,             1階,5.8万円,3000円,-,5.8万円,1LDK,47.66m2
ＪＲ山陰本線 西出雲駅 2階建 築4年,島根県出雲市神門町, ＪＲ山陰本線/西出雲駅 車6分(2.1km) ＪＲ山陰本線/出雲神西駅 車6分(2.3km) ＪＲ山陰本線/出雲市駅 車15分(5.8km) , 築4年 2階建 ,             1階,6万円,3000円,-,6万円,1LDK,47.66m2
ＪＲ山陰本線 西出雲駅 2階建 築4年,島根県出雲市神門町, ＪＲ山陰本線/西出雲駅 車6分(2.1km) ＪＲ山陰本線/出雲神西駅 車6分(2.3km) ＪＲ山陰本線/出雲市駅 車15分(5.8km) , 築4年 2階建 ,             2階,6.6万円,3000円,-,6.6万円,2LDK,54.85m2
ＪＲ山陰本線 出雲市駅 2階建 築5年,島根県出雲市天神町, ＪＲ山陰本線/出雲市駅 車5分(2.0km) 一畑電気鉄道松江線/電鉄出雲市駅 車6分(2.3km) ＪＲ山陰本線/西出雲駅 車14分(5.3km) , 築5年 2階建 ,             2階,6.3万円,2200円,-,-,2LDK,56.42m2
バス 渡橋北 2階建 築4年,島根県出雲市小山町, バス/渡橋北 歩8分   , 築4年 2階建 ,             2階,5.9万円,3500円,-,-,1LDK,32.77m2
バス 渡橋北 2階建 築4年,島根県出雲市小山町, バス/渡橋北 歩8分   , 築4年 2階建 ,             1階,5.9万円,3500円,-,-,1LDK,32.77m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町上直江, ＪＲ山陰本線/直江駅 歩19分 一畑電気鉄道松江線/武志駅 車12分(4.6km) ＪＲ山陰本線/荘原駅 車16分(6.1km) , 築4年 2階建 ,             1階,6.4万円,2800円,-,-,1LDK,50.49m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町上直江, ＪＲ山陰本線/直江駅 歩19分 一畑電気鉄道松江線/武志駅 車12分(4.6km) ＪＲ山陰本線/荘原駅 車16分(6.1km) , 築4年 2階建 ,             1階,6.6万円,2800円,-,6.6万円,1LDK,50.49m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町上直江, ＪＲ山陰本線/直江駅 歩19分 一畑電気鉄道松江線/武志駅 車12分(4.6km) ＪＲ山陰本線/荘原駅 車16分(6.1km) , 築4年 2階建 ,             2階,7.65万円,2800円,-,7.65万円,2LDK,59.09m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町上直江, ＪＲ山陰本線/直江駅 歩19分 一畑電気鉄道松江線/武志駅 車12分(4.6km) ＪＲ山陰本線/荘原駅 車16分(6.1km) , 築4年 2階建 ,             2階,7.85万円,2800円,-,7.85万円,2LDK,59.09m2
一畑電気鉄道松江線 武志駅 2階建 築13年,島根県出雲市稲岡町, 一畑電気鉄道松江線/武志駅 歩9分 一畑電気鉄道松江線/川跡駅 歩14分 一畑電車大社線/高浜駅 車6分(2.4km) , 築13年 2階建 ,             1階,5万円,2500円,-,5万円,2DK,45.39m2
ＪＲ山陰本線 出雲市駅 2階建 築6年,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 歩13分 一畑電気鉄道松江線/電鉄出雲市駅 歩13分 一畑電気鉄道松江線/出雲科学館パーク前駅 車5分(1.8km) , 築6年 2階建 ,             2階,6.75万円,2800円,-,6.75万円,2LDK,58.63m2
ＪＲ山陰本線 出雲市駅 2階建 築6年,島根県出雲市塩冶町, ＪＲ山陰本線/出雲市駅 歩13分 一畑電気鉄道松江線/電鉄出雲市駅 歩13分 一畑電気鉄道松江線/出雲科学館パーク前駅 車5分(1.8km) , 築6年 2階建 ,             2階,6.8万円,2800円,-,6.8万円,2LDK,61.96m2
アン　ソレイユI,島根県出雲市神西沖町, ＪＲ山陰本線/出雲神西駅 バス25分 (バス停)さざなみ学園前 歩14分   , 築9年 2階建 ,             1階,4.5万円,2200円,-,4.5万円,1LDK,48.91m2
ジールマルマツIII,島根県出雲市高松町, ＪＲ山陰本線/出雲市駅 バス10分 (バス停)井出分前 歩4分   , 築9年 2階建 ,             1階,4.6万円,3000円,-,4.6万円,2DK,46.06m2
ジールマルマツIII,島根県出雲市高松町, ＪＲ山陰本線/出雲市駅 バス10分 (バス停)井出分前 歩4分   , 築9年 2階建 ,             1階,4.6万円,3000円,-,4.6万円,2DK,46.06m2
ＪＲ山陰本線 直江駅 2階建 築5年,島根県出雲市斐川町併川, ＪＲ山陰本線/直江駅 車5分(1.9km) 一畑電気鉄道松江線/大津町駅 車5分(1.9km) ＪＲ山陰本線/出雲市駅 車10分(4.0km) , 築5年 2階建 ,             1階,5.85万円,2200円,-,5.85万円,1LDK,48.27m2
スペランサ斐川,島根県出雲市斐川町富村, ＪＲ山陰本線/直江駅 歩6分   , 築11年 3階建 ,             1階,6.4万円,-,12.8万円,6.4万円,2LDK,55.1m2
スペランサ斐川,島根県出雲市斐川町富村, ＪＲ山陰本線/直江駅 歩6分   , 築11年 3階建 ,             2階,6.4万円,-,12.8万円,6.4万円,2LDK,55.1m2
ＪＲ山陰本線 西出雲駅 2階建 築14年,島根県出雲市知井宮町, ＪＲ山陰本線/西出雲駅 歩11分 ＪＲ山陰本線/出雲神西駅 車6分(2.2km) ＪＲ山陰本線/出雲市駅 車14分(5.4km) , 築14年 2階建 ,             1階,5万円,3000円,5万円,-,1LDK,44.73m2
ＪＲ山陰本線 荘原駅 2階建 新築,島根県出雲市斐川町沖洲, ＪＲ山陰本線/荘原駅 車5分(1.7km) ＪＲ山陰本線/直江駅 車13分(4.9km) ＪＲ山陰本線/宍道駅 車15分(5.8km) , 新築 2階建 ,             1階,5.6万円,2200円,-,5.6万円,1LDK,50.05m2
ＪＲ山陰本線 荘原駅 2階建 新築,島根県出雲市斐川町沖洲, ＪＲ山陰本線/荘原駅 車5分(1.7km) ＪＲ山陰本線/直江駅 車13分(4.9km) ＪＲ山陰本線/宍道駅 車15分(5.8km) , 新築 2階建 ,             1階,5.6万円,2200円,-,5.6万円,1LDK,50.05m2
ＪＲ山陰本線 荘原駅 2階建 新築,島根県出雲市斐川町沖洲, ＪＲ山陰本線/荘原駅 車5分(1.7km) ＪＲ山陰本線/直江駅 車13分(4.9km) ＪＲ山陰本線/宍道駅 車15分(5.8km) , 新築 2階建 ,             1階,5.6万円,2200円,-,5.6万円,1LDK,50.05m2
ＪＲ山陰本線 荘原駅 2階建 新築,島根県出雲市斐川町沖洲, ＪＲ山陰本線/荘原駅 車5分(1.7km) ＪＲ山陰本線/直江駅 車13分(4.9km) ＪＲ山陰本線/宍道駅 車15分(5.8km) , 新築 2階建 ,             1階,5.8万円,2200円,-,5.8万円,1LDK,50.01m2
ＪＲ山陰本線 荘原駅 2階建 新築,島根県出雲市斐川町沖洲, ＪＲ山陰本線/荘原駅 車5分(1.7km) ＪＲ山陰本線/直江駅 車13分(4.9km) ＪＲ山陰本線/宍道駅 車15分(5.8km) , 新築 2階建 ,             1階,5.8万円,2200円,-,5.8万円,1LDK,50.01m2
ＪＲ山陰本線 荘原駅 2階建 新築,島根県出雲市斐川町沖洲, ＪＲ山陰本線/荘原駅 車5分(1.7km) ＪＲ山陰本線/直江駅 車13分(4.9km) ＪＲ山陰本線/宍道駅 車15分(5.8km) , 新築 2階建 ,             2階,6.35万円,2200円,-,6.35万円,2LDK,59.58m2
一畑電気鉄道松江線 電鉄出雲市駅 2階建 築4年,島根県出雲市上塩冶町, 一畑電気鉄道松江線/電鉄出雲市駅 歩15分 ＪＲ山陰本線/出雲市駅 歩17分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩18分 , 築4年 2階建 ,             1階,6.25万円,2800円,-,6.25万円,1LDK,45.74m2
グローリアＭ,島根県出雲市塩冶町南町２, 一畑電気鉄道松江線/電鉄出雲市駅 歩27分 ＪＲ山陰本線/出雲市駅 歩27分 一畑電気鉄道松江線/出雲科学館パーク前駅 歩36分 , 築4年 3階建 ,             3階,5.6万円,2000円,-,-,ワンルーム,32.67m2
ＪＲ山陰本線 出雲市駅 2階建 築5年,島根県出雲市小山町, ＪＲ山陰本線/出雲市駅 バス13分 (バス停)小山保育園前 歩7分   , 築5年 2階建 ,             1階,5.9万円,2800円,-,5.9万円,1LDK,47.76m2
ＪＲ山陰本線 出雲市駅 2階建 築5年,島根県出雲市今市町南本町, ＪＲ山陰本線/出雲市駅 歩8分   , 築5年 2階建 ,             2階,6万円,3500円,-,-,1LDK,32.77m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 車5分(1.9km) ＪＲ山陰本線/荘原駅 車11分(4.3km) 一畑電気鉄道松江線/旅伏駅 車12分(4.6km) , 築4年 2階建 ,             1階,5.8万円,2500円,-,-,1LDK,50.29m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 車5分(1.9km) ＪＲ山陰本線/荘原駅 車11分(4.3km) 一畑電気鉄道松江線/旅伏駅 車12分(4.6km) , 築4年 2階建 ,             1階,5.8万円,2800円,-,5.8万円,1LDK,50.29m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 車5分(1.9km) ＪＲ山陰本線/荘原駅 車11分(4.3km) 一畑電気鉄道松江線/旅伏駅 車12分(4.6km) , 築4年 2階建 ,             1階,6万円,2500円,-,-,1LDK,50.29m2
一畑電車大社線 浜山公園北口駅 2階建 築3年,島根県出雲市大社町北荒木, 一畑電車大社線/浜山公園北口駅 歩12分   , 築3年 2階建 ,             1階,4.75万円,2200円,-,4.75万円,2DK,50.29m2
ヴェルソレイユ,島根県出雲市渡橋町渡橋, ＪＲ山陰本線/出雲市駅 バス11分 (バス停)イオンモール出雲前 歩6分   , 築8年 2階建 ,             2階,5.9万円,4000円,-,-,1LDK,44.66m2
ＪＲ山陰本線 出雲市駅 2階建 築4年,島根県出雲市白枝町, ＪＲ山陰本線/出雲市駅 車7分(2.8km) ＪＲ山陰本線/西出雲駅 車12分(4.5km) 一畑電車大社線/遙堪駅 車12分(4.5km) , 築4年 2階建 ,             1階,4.9万円,3000円,-,4.9万円,1LDK,50.07m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町上直江, ＪＲ山陰本線/直江駅 歩7分 一畑電気鉄道松江線/大津町駅 車10分(4.0km) ＪＲ山陰本線/出雲市駅 車16分(6.1km) , 築4年 2階建 ,             1階,5.9万円,2500円,-,-,1LDK,44.55m2
ＪＲ山陰本線 直江駅 2階建 築4年,島根県出雲市斐川町上直江, ＪＲ山陰本線/直江駅 歩7分 一畑電気鉄道松江線/大津町駅 車10分(4.0km) ＪＲ山陰本線/出雲市駅 車16分(6.1km) , 築4年 2階建 ,             2階,6.5万円,2500円,-,-,2LDK,56.58m2
ＪＲ山陰本線 直江駅 2階建 築7年,島根県出雲市斐川町直江, ＪＲ山陰本線/直江駅 車6分(2.3km) ＪＲ山陰本線/荘原駅 車10分(4.0km) 一畑電気鉄道松江線/旅伏駅 車14分(5.6km) , 築7年 2階建 ,             1階,4.75万円,2200円,-,4.75万円,1LDK,50.29m2
ＪＲ山陰本線 直江駅 2階建 築18年,島根県出雲市斐川町出西, ＪＲ山陰本線/直江駅 車6分(2.2km) 一畑電気鉄道松江線/大津町駅 車11分(4.2km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車14分(5.3km) , 築18年 2階建 ,             1階,5.3万円,2500円,-,-,2DK,50.22m2
ＪＲ山陰本線 直江駅 2階建 築18年,島根県出雲市斐川町出西, ＪＲ山陰本線/直江駅 車6分(2.2km) 一畑電気鉄道松江線/大津町駅 車11分(4.2km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車14分(5.3km) , 築18年 2階建 ,             2階,5.6万円,2500円,-,-,2LDK,61.91m2
ＪＲ山陰本線 直江駅 2階建 築18年,島根県出雲市斐川町出西, ＪＲ山陰本線/直江駅 車6分(2.2km) 一畑電気鉄道松江線/大津町駅 車11分(4.2km) 一畑電気鉄道松江線/出雲科学館パーク前駅 車14分(5.3km) , 築18年 2階建 ,             2階,5.8万円,2500円,-,-,2LDK,61.91m2
ＪＲ山陰本線 出雲市駅 2階建 築15年,島根県出雲市小山町, ＪＲ山陰本線/出雲市駅 車7分(2.5km) 一畑電気鉄道松江線/電鉄出雲市駅 車7分(2.8km) 一畑電車大社線/高浜駅 車7分(2.7km) , 築15年 2階建 ,             2階,6万円,1700円,-,6万円,2LDK,59.82m2
ハーモニーベル　II,島根県出雲市神西沖町, ＪＲ山陰本線/出雲市駅 バス25分 (バス停)さざなみ学園前 歩13分   , 築3年 2階建 ,             1階,5.9万円,2500円,-,-,1LDK,50.49m2
ＪＲ山陰本線 出雲市駅 2階建 築10年,島根県出雲市上塩冶町, ＪＲ山陰本線/出雲市駅 歩11分   , 築10年 2階建 ,             2階,6.3万円,3500円,-,6.3万円,1LDK,44.66m2
一畑電車大社線 遙堪駅 2階建 築3年,島根県出雲市小山町, 一畑電車大社線/遙堪駅 車7分(2.5km) ＪＲ山陰本線/出雲市駅 車8分(3.2km) 一畑電気鉄道松江線/電鉄出雲市駅 車9分(3.6km) , 築3年 2階建 ,             1階,5.85万円,3000円,-,5.85万円,1LDK,50.42m2
一畑電車大社線 遙堪駅 2階建 築3年,島根県出雲市小山町, 一畑電車大社線/遙堪駅 車7分(2.5km) ＪＲ山陰本線/出雲市駅 車8分(3.2km) 一畑電気鉄道松江線/電鉄出雲市駅 車9分(3.6km) , 築3年 2階建 ,             1階,6.05万円,3000円,-,-,1LDK,50.42m2
ベルフォンテーヌ　Ａ,島根県出雲市松寄下町, ＪＲ山陰本線/出雲市駅 バス23分 (バス停)白枝北 歩7分   , 新築 2階建 ,             1階,6万円,3300円,-,6万円,1LDK,50.05m2
ベルフォンテーヌ　Ａ,島根県出雲市松寄下町, ＪＲ山陰本線/出雲市駅 バス23分 (バス停)白枝北 歩7分   , 新築 2階建 ,             1階,6万円,3300円,-,6万円,1LDK,50.05m2
ベルフォンテーヌ　Ａ,島根県出雲市松寄下町, ＪＲ山陰本線/出雲市駅 バス23分 (バス停)白枝北 歩7分   , 新築 2階建 ,             1階,6万円,3300円,-,6万円,1LDK,50.05m2
